chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,X,glc,EtOH,For,Ac,peak_S,opt_frac
LY01,A,10,0.15672120578879825,6.29442629337801,4.41463932503131,0.08803439294004438,1.1096986539682436,13.103765158035616,0.5931335232932284,0.023293021998619833,0.3572545698291857,39.00279925954877,26.32530556678013,5.35134501296844,0.18344779268962155,1.339966309494225,1.0
LY01,A,11,1.3360518681674896,7.98050956978427,2.8866462593540643,0.07087051654600886,1.8471743368048013,14.819200496625593,0.7496012432190923,0.030045881898990476,0.17268464821012697,47.07215805502407,13.127928436350329,2.376438372160755,0.08652384164850326,11.423243472832036,1.0
LY01,A,12,0.7991552710765428,9.469468227539288,2.8655689873793193,0.10687013860458158,1.2432046239891432,12.695385565953877,1.2839657230506671,0.03440357433268267,0.3114675129127988,40.94870562355998,23.243428041357856,4.2553717797390505,0.1593601002353838,6.832777567704442,1.0
LY01,A,13,0.18081431805851583,8.795456115468948,3.88941262670071,0.12112924304912277,0.8828233048942892,10.224773288310104,0.6698236669553284,0.018252472330089427,0.3561986994527001,39.043898937446514,26.267589851597158,5.302819811358166,0.18281817148008309,1.5459624194003103,1.0
LY01,A,14,1.0850418006977987,10.716842287891808,5.819445177968662,0.1033594026493897,1.5467110812263747,14.494659733048245,1.3602882081826342,0.03774371388687409,0.174438859432202,46.99520882982657,13.276769431897277,2.2899320061694683,0.09028598524303708,9.277107395966176,1.0
LY01,A,15,1.4796092533787926,10.020145317007323,5.092614047736442,0.08919615538294419,2.546366006250029,11.18843706309768,1.0479874566850471,0.01953784056421984,0.06369076054719904,51.950949688566155,5.057084459053052,0.8897684324379792,0.03347638502969151,12.650659116388677,1.0
LY01,A,16,1.4299456697601893,8.460811004589623,2.849327118516968,0.13885488450311628,2.182789733092269,14.762365952359264,1.2418714002292992,0.018517219875910363,0.1441205710377978,48.312654218447605,11.083789548667779,2.044093546425207,0.07488971139773401,12.226035476449617,1.0
LY01,A,17,0.2829524596071516,11.351994816430555,2.7831227308318818,0.11666141593027748,1.736926986246416,14.560098969029557,0.6063173363410865,0.0319565922758592,0.3539158773647443,39.13260593002724,26.13310217324192,5.252808486521371,0.18148985120305228,2.419243529641146,1.0
LY01,A,18,1.0407648561893823,10.452578027669768,5.443491984875742,0.0649794918028805,2.332934508946786,9.032652671045872,1.4959220644798181,0.01615185958208737,0.2038267918134598,45.720482251119094,15.32403140091179,2.9141746068876726,0.10557523407172069,8.898539520419217,1.0
LY01,A,19,0.3758080570946692,7.673495294493803,4.317532200059761,0.11175716727067883,2.752262454186954,14.292135121956534,0.9481460844834532,0.03992646019898147,0.3504119223870189,39.276231425089165,25.897316939032958,5.239132252444729,0.17960106197429532,3.213158888159422,1.0
LY01,A,20,0.914370088838532,12.699765665860696,5.9284701980224845,0.08315003367962163,1.4286216854883416,9.543498960512986,1.1871527255189336,0.01112607851789739,0.24196589782335923,44.025629272861536,18.19389670904876,3.05601915819833,0.12462963366799147,7.817864259569449,1.0
LY01,A,21,1.4192266049317115,10.24463426897341,5.7937125796316575,0.12439023825833137,1.3750077267233936,9.204149296913153,1.4391537828686878,0.015015548393246718,0.06306252805173443,51.97644567836034,5.030480388135373,0.8132459872957445,0.03383432568860557,12.134387472166136,1.0
LY01,A,22,1.1777805941713213,9.322882365882919,4.4507215155430595,0.08394914358350967,2.2883916652434815,14.92561207268221,1.477421007199431,0.02460095755812431,0.17333954414032654,47.053640717944944,13.137481397580885,2.4729643425865255,0.08997566452636854,10.070024080164798,1.0
LY01,A,23,0.979161393520436,11.07367972844158,5.6803361608298495,0.11927692027161406,2.4734000381816195,11.605393316486817,0.9950228593093164,0.011987473913171459,0.2201222066862139,44.981254635662,16.56350124771825,3.1160453259958105,0.11346043422707414,8.37182991459973,1.0
LY01,A,24,1.4052819171289683,13.242222716676276,3.862871400341689,0.06968831916848357,0.8390526366109909,12.81449673855292,1.0672779623640083,0.021929131731174577,0.11531211414458681,49.607652720366524,9.056312085100965,0.9076590891266649,0.059728058572547905,12.01516039145268,1.0
LY01,A,25,1.1537234230734932,13.011224457445346,4.624133422163153,0.12146242955163802,1.8967553101617662,15.64947663438523,0.8872319923605918,0.02925629172095403,0.17417743647554826,46.99572949097787,13.297491621593863,2.2021683271737267,0.08932310539293994,9.864335267278367,1.0
LY01,A,26,0.19356188604048227,6.1733652016200615,2.911547841019865,0.08331563343265527,1.1197692479462455,12.53171373837678,0.9374493428514884,0.03219548978245747,0.356690029114227,39.02419277675977,26.292865851820032,5.34157765724918,0.183112961008472,1.6549541256461233,1.0
LY01,A,27,1.4723785416961703,7.566919777807664,5.470480037184096,0.09509389005231224,0.8272923541193947,10.602945692068982,1.1999346080833813,0.01602593909616504,0.05767872623219886,52.2231366551489,4.615891464961797,0.7529883243475318,0.031177056289202847,12.588836531502256,1.0
LY01,A,28,1.109646745463023,10.612555734792078,3.562794879591424,0.13102656826032388,2.469604323147946,12.404419567525299,0.9233596022707854,0.03749794983514406,0.21690054047506901,45.09530866088537,16.40085834997773,3.03527271041886,0.1114634831649365,9.487479673708846,1.0
LY01,A,29,1.232181883786051,7.3897077026690035,5.278701802275457,0.13462036350739617,0.940227891418477,15.34622975259235,1.269572833215916,0.017544094070638686,0.13029225698554078,48.95355013973649,10.0257252912095,1.786372499514651,0.0679478688537013,10.535155106370736,1.0
